"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.600889667E0,1.752790600E-2,-2.943459123E-2,2.643292308E-2
2.610951667E0,8.437473714E-2,1.344099462E-1,-1.107790089E-1
2.621012667E0,3.535548180E-2,-3.269032091E-2,-1.771267802E-1
2.631073667E0,4.251510501E-3,9.803003222E-3,-1.324464512E-1
2.641135667E0,1.288258553E-2,1.201398164E-2,-1.364231426E-1
2.651196667E0,4.954345822E-2,-3.568687275E-2,-1.706246763E-1
2.661258667E0,1.166428891E-1,-7.131834313E-2,-2.317421132E-1
2.671319667E0,1.391230944E-1,-5.862900808E-2,-2.998159826E-1
2.681381667E0,1.457257703E-1,-3.466229439E-2,-2.904931819E-1
2.691442667E0,1.323031944E-1,-5.707379490E-2,-2.989324683E-1
2.701503667E0,8.204023629E-2,-6.915823549E-2,-3.121237868E-1
2.711565667E0,9.334027290E-2,-9.691379875E-2,-7.939828885E-1
2.721626667E0,1.881806490E-1,-4.195406467E-2,-7.588463849E-1
2.731688667E0,1.549950689E-2,6.868519574E-2,-2.241916037E-1
2.741749667E0,-4.065247446E-2,-6.506240711E-2,-7.149858356E-2
2.751811667E0,-1.203938779E-1,-8.433921531E-2,1.573567593E-1
2.761872667E0,-1.203921238E-1,1.416809589E-2,1.464248049E-1
2.771934667E0,1.018245828E-1,-1.400514860E-1,1.274605304E-1
2.781995667E0,1.326437947E-1,-2.944501390E-1,3.014298141E-1
2.792056667E0,-3.889626324E-2,-2.016679828E-1,6.593484092E-1
2.802118667E0,-5.542429537E-2,-6.979572818E-2,5.570829463E-1
2.812179667E0,-1.789745003E-2,5.499993369E-2,2.361105680E-3
2.822241667E0,-7.034931332E-2,1.027962439E-1,-3.523625708E-1
2.832302667E0,-8.247994691E-2,5.782925516E-2,-4.924992800E-1
2.842364667E0,1.167922854E-2,2.351130331E-1,-5.458861130E-1
2.852425667E0,-8.020011753E-2,2.511614473E-1,-4.684274626E-1
2.862487667E0,-1.757418671E-1,9.229435220E-2,-3.571777529E-1
2.872548667E0,-1.894331226E-1,6.402744994E-2,-2.921953064E-1
