"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.579652250E0,-4.948110352E0,1.888472900E0,8.242459717E0
1.589713250E0,-4.899910583E0,1.866917725E0,8.231981506E0
1.599775250E0,-4.895569611E0,1.827100525E0,8.245752869E0
1.609836250E0,-4.912035370E0,1.805844727E0,8.263266449E0
1.619898250E0,-4.921914825E0,1.807640991E0,8.293653259E0
1.629959250E0,-4.932991791E0,1.808090057E0,8.294102325E0
1.640020250E0,-4.945116577E0,1.775757294E0,8.318800964E0
1.650082250E0,-5.017266541E0,1.797312469E0,8.313262482E0
1.660143250E0,-5.052593079E0,1.810185699E0,8.278834076E0
1.670205250E0,-5.037175140E0,1.791175232E0,8.204588470E0
1.680266250E0,-4.962630157E0,1.742825775E0,8.190218353E0
1.690328250E0,-4.900808716E0,1.740131378E0,8.176446991E0
1.700389250E0,-4.842879181E0,1.668280792E0,8.156388702E0
1.710451250E0,-4.774022369E0,1.641037445E0,8.157137146E0
1.720512250E0,-4.744533691E0,1.665885773E0,8.168513489E0
1.730574250E0,-4.774920502E0,1.621278534E0,8.187074890E0
1.740635250E0,-4.792733459E0,1.567839661E0,8.299491119E0
1.750697250E0,-4.796325989E0,1.539099426E0,8.387807465E0
1.760758250E0,-4.793631592E0,1.538800049E0,8.413553925E0
1.770819250E0,-4.775219879E0,1.520088959E0,8.414601746E0
1.780881250E0,-4.766987000E0,1.514999542E0,8.429121552E0
1.790942250E0,-4.763993225E0,1.533111877E0,8.476572876E0
1.801004250E0,-4.715494080E0,1.517244873E0,8.496182098E0
1.811065250E0,-4.657863922E0,1.503772888E0,8.489296417E0
1.821127250E0,-4.597239990E0,1.478625183E0,8.499924316E0
1.831188250E0,-4.575235748E0,1.470991058E0,8.506360931E0
1.841250250E0,-4.533622284E0,1.458866272E0,8.508456573E0
1.851311250E0,-4.539310455E0,1.475781097E0,8.531358948E0
1.861373250E0,-4.523742828E0,1.460063782E0,8.597970428E0
1.871434250E0,-4.510869598E0,1.450334015E0,8.618178406E0
1.881495250E0,-4.503385162E0,1.473535767E0,8.564140778E0
1.891557250E0,-4.430486755E0,1.449735260E0,8.507558441E0
1.901618250E0,-4.389172668E0,1.420545959E0,8.454119568E0
1.911680250E0,-4.377197571E0,1.401685181E0,8.479117584E0
1.921741250E0,-4.331841888E0,1.377585297E0,8.453670502E0
1.931803250E0,-4.273762665E0,1.403631134E0,8.446784821E0
1.941864250E0,-4.226461029E0,1.415606232E0,8.391100616E0
1.951926250E0,-4.251459045E0,1.444047089E0,8.362959137E0
1.961987250E0,-4.261637878E0,1.447938995E0,8.367449799E0
1.972049250E0,-4.270619202E0,1.497186584E0,8.372539215E0
1.982110250E0,-4.298910370E0,1.515298920E0,8.406069489E0
1.992171250E0,-4.328249359E0,1.486259308E0,8.416547699E0
2.002233250E0,-4.347708893E0,1.520088959E0,8.445587311E0
2.012294250E0,-4.414170685E0,1.547182617E0,8.570577393E0
2.022356250E0,-4.424499207E0,1.574575653E0,8.592282257E0
2.032417250E0,-4.387975159E0,1.582509155E0,8.558302917E0
2.042479250E0,-4.355343018E0,1.592837677E0,8.511001282E0
2.052540250E0,-4.345463562E0,1.589394836E0,8.524473267E0
2.062602250E0,-4.342769165E0,1.601819000E0,8.544830933E0
2.072663250E0,-4.342320099E0,1.597478027E0,8.562045135E0
