"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.602002292E0,-1.968706055E0,2.586621094E0,9.161548462E0
3.612063292E0,-2.017953644E0,2.591860199E0,9.179810486E0
3.622125292E0,-2.027234344E0,2.594105530E0,9.146429901E0
3.632186292E0,-2.055076447E0,2.667003937E0,9.158105621E0
3.642248292E0,-2.131268005E0,2.715353394E0,9.189091187E0
3.652309292E0,-2.172582092E0,2.734812927E0,8.711434479E0
3.662371292E0,-2.211800537E0,2.902015228E0,8.645421753E0
3.672432292E0,-2.461181946E0,2.796484680E0,9.260792084E0
3.682493292E0,-2.450104980E0,2.859503632E0,9.178912354E0
3.692555292E0,-2.449057159E0,2.905458069E0,9.217082977E0
3.702616292E0,-2.479743347E0,2.892884216E0,9.333840179E0
3.712678292E0,-2.284698944E0,2.690056000E0,9.404343567E0
3.722739292E0,-2.067201233E0,2.554288330E0,9.391620026E0
3.732801292E0,-2.053130493E0,2.673290863E0,9.212592316E0
3.742862292E0,-2.082619171E0,2.916984100E0,8.950487366E0
3.752923292E0,-2.115251312E0,3.002156982E0,9.034313049E0
3.762985292E0,-2.203417969E0,2.963986359E0,8.826245728E0
3.773046292E0,-2.210902405E0,2.981350250E0,8.656798096E0
3.783108292E0,-2.213297424E0,3.017574921E0,8.601263580E0
3.793169292E0,-2.272873535E0,2.991828461E0,8.637039185E0
3.803231292E0,-2.351310425E0,2.981050873E0,8.690927124E0
3.813292292E0,-2.394420776E0,3.018323364E0,8.699758759E0
3.823353292E0,-2.335593109E0,3.058889008E0,8.743168488E0
3.833415292E0,-2.226170654E0,3.015479279E0,8.828790436E0
3.843476292E0,-2.142344971E0,2.958298187E0,8.888965302E0
3.853538292E0,-2.054777069E0,2.907553711E0,8.990603943E0
3.863599292E0,-2.021695862E0,2.872526550E0,9.028924255E0
3.873661292E0,-2.039059753E0,2.875220947E0,9.094038849E0
3.883722292E0,-2.070943451E0,2.872825928E0,9.135652313E0
3.893783292E0,-2.081271973E0,2.837798767E0,9.101074219E0
3.903845292E0,-2.090253296E0,2.863245850E0,9.043593750E0
3.913906292E0,-2.102078705E0,2.891686707E0,8.997489624E0
3.923968292E0,-2.150877228E0,2.905009003E0,8.950637054E0
3.934029292E0,-2.178419952E0,2.903212738E0,8.995693359E0
3.944091292E0,-2.178719330E0,2.890788574E0,9.046886902E0
3.954152292E0,-2.174677734E0,2.878663788E0,9.070687408E0
3.964213292E0,-2.118843842E0,2.861599274E0,9.011410675E0
3.974275292E0,-2.046244812E0,2.844235382E0,8.934620361E0
3.984336292E0,-2.036664734E0,2.847528534E0,8.937165070E0
3.994398292E0,-2.082170105E0,2.854414215E0,9.029523010E0
4.004459292E0,-2.163900146E0,2.844834137E0,9.099577332E0
4.014521292E0,-2.190694427E0,2.844385071E0,9.089548187E0
4.024582292E0,-2.164049835E0,2.865491180E0,8.994645538E0
4.034643292E0,-2.164498901E0,2.902763672E0,8.959768066E0
4.044705292E0,-2.169887695E0,2.930007019E0,9.004225616E0
4.054766292E0,-2.160307617E0,2.923869781E0,9.067394257E0
4.064828292E0,-2.118544464E0,2.918480988E0,9.092242584E0
4.074889292E0,-2.106120300E0,2.929857330E0,9.135951691E0
4.084951292E0,-2.093097382E0,2.924767914E0,9.126820679E0
4.095012292E0,-2.056872711E0,2.879112854E0,9.117989044E0
4.105073292E0,-2.024839325E0,2.847528534E0,9.118438110E0
4.115135292E0,-2.021546173E0,2.839744720E0,9.149573364E0
4.125196292E0,-1.991009674E0,2.833607483E0,9.179361420E0
4.135258292E0,-2.006876678E0,2.829416199E0,9.166188812E0
4.145319292E0,-2.082020416E0,2.881058807E0,9.202712860E0
