"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.275005292E0,1.504369229E-1,-3.019956052E-1,1.192734540E-1
3.285067292E0,1.652743220E-1,-2.565684915E-1,1.117326543E-1
3.295128292E0,1.994855553E-1,-3.439923525E-1,1.625641435E-1
3.305190292E0,1.679673791E-1,-3.014510274E-1,1.245808825E-1
3.315251292E0,1.723155230E-1,-2.492626607E-1,1.638800800E-1
3.325313292E0,1.739530265E-1,-2.102533579E-1,1.550516486E-1
3.335374292E0,1.880699098E-1,-1.857671887E-1,1.534553617E-1
3.345435292E0,1.941041797E-1,-1.955432147E-1,1.624266207E-1
3.355497292E0,2.106498629E-1,-2.506706715E-1,1.838570833E-1
3.365558292E0,2.110800892E-1,-1.992637962E-1,1.664007753E-1
3.375620292E0,1.773484945E-1,-6.654115766E-2,1.160643697E-1
3.385681292E0,1.354857385E-1,-6.212677807E-3,8.174844831E-2
3.395743292E0,1.250408143E-1,-5.351441354E-2,8.687103540E-2
3.405804292E0,1.423951089E-1,-7.558625937E-2,8.212277293E-2
3.415866292E0,1.973097622E-1,-1.438774318E-1,1.339862347E-1
3.425927292E0,2.226286232E-1,-3.748724237E-2,1.167383865E-1
3.435988292E0,1.993161142E-1,1.645297706E-1,7.556272298E-2
3.446050292E0,1.958706528E-1,1.673401743E-1,9.062779695E-2
3.456111292E0,2.075938880E-1,1.237106696E-1,9.820262343E-2
3.466173292E0,2.270508707E-1,8.607258648E-2,9.359175712E-2
3.476234292E0,2.626338899E-1,3.902251273E-2,1.131726503E-1
3.486296292E0,2.281237990E-1,1.967189610E-1,6.137651950E-2
3.496357292E0,2.187028676E-1,2.216842324E-1,5.802599713E-2
3.506418292E0,2.221416086E-1,2.012343109E-1,5.943101645E-2
3.516480292E0,2.178784162E-1,2.025531083E-1,5.923207849E-2
3.526541292E0,2.224308103E-1,2.165724784E-1,6.550078094E-2
3.536603292E0,2.269430012E-1,2.779950798E-1,6.622409821E-2
3.546664292E0,2.378103882E-1,3.248924017E-1,6.844151765E-2
3.556726292E0,2.466134578E-1,3.409384787E-1,6.925004721E-2
3.566787292E0,2.365365177E-1,3.287056088E-1,6.382291764E-2
3.576848292E0,2.320030183E-1,3.086493611E-1,5.995760858E-2
3.586910292E0,2.191770971E-1,2.894853354E-1,5.879738927E-2
3.596971292E0,2.159594744E-1,2.854642272E-1,6.992939860E-2
3.607033292E0,2.246706784E-1,3.105742037E-1,7.570891827E-2
3.617094292E0,2.492726892E-1,3.547675014E-1,8.045733720E-2
3.627156292E0,2.836315334E-1,3.851003051E-1,8.303349465E-2
3.637217292E0,3.034912348E-1,3.941646218E-1,8.489797264E-2
3.647278292E0,3.113774657E-1,3.707202971E-1,8.912111074E-2
3.657340292E0,1.412270367E-1,4.231677949E-1,9.461547434E-2
3.667401292E0,1.225766540E-1,3.027805388E-1,7.868096232E-2
3.677463292E0,1.590007097E-1,2.180808336E-1,6.978467107E-2
3.687524292E0,1.509766877E-1,1.478691548E-1,7.123383880E-2
3.697586292E0,1.574106216E-1,5.539755151E-2,7.048922032E-2
3.707647292E0,1.791554540E-1,-2.683337592E-2,4.328892007E-2
3.717708292E0,2.096502483E-1,-8.669590950E-2,1.422963687E-3
3.727770292E0,2.071540654E-1,-5.606050044E-2,-4.439965263E-2
3.737831292E0,1.858607531E-1,2.510705404E-2,-2.896743082E-2
3.747893292E0,1.902409345E-1,4.119011015E-2,-1.986560784E-2
3.757954292E0,1.808157414E-1,4.830075055E-2,-1.530201547E-2
3.768016292E0,1.425066441E-1,6.267950684E-2,-4.403273575E-3
