"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.633603833E0,-1.432949901E0,6.366782784E-1,2.911702096E-1
2.643643833E0,-1.595946431E0,1.026256680E0,6.882926822E-2
2.653714833E0,-1.306047440E0,1.011524081E0,-5.379584618E-3
2.663754833E0,-9.239163995E-1,1.185611963E0,-7.285583019E-2
2.673825833E0,-5.334282517E-1,1.389566898E0,6.019695848E-2
2.683896833E0,-1.861560494E-1,1.564331770E0,2.051448375E-1
2.693936833E0,1.837712824E-1,2.466789961E0,5.144585371E-1
2.704007833E0,6.797288656E-1,2.365951538E0,5.389353633E-1
2.714078833E0,7.959351540E-1,1.672480941E0,3.401548564E-1
2.724118833E0,4.264143705E-1,1.297756314E0,1.595701724E-1
2.734189833E0,-1.282361895E-1,1.692790866E0,1.567954719E-1
2.744260833E0,-5.547041297E-1,2.321596861E0,3.449587226E-1
2.754300833E0,-7.257084250E-1,2.482030630E0,7.144389749E-1
2.764371833E0,-6.714079380E-1,1.875999212E0,1.070878506E0
2.774411833E0,-5.774052739E-1,1.040922880E0,1.279535532E0
2.784482833E0,-3.779113293E-1,5.689310431E-1,1.400042295E0
2.794553833E0,-1.580018550E-1,3.491208851E-1,1.415008426E0
2.804593833E0,-4.283028841E-1,-2.788098752E-1,1.231350780E0
2.814664833E0,-1.364662647E0,-1.238755226E0,5.113977194E-1
2.824734833E0,-2.400680780E0,-1.354837656E0,-3.113155961E-1
2.834775833E0,-2.982434511E0,-2.665496767E-1,-7.999269962E-1
2.844846833E0,-2.888055563E0,9.754029512E-1,-9.394217730E-1
2.854916833E0,-2.538162470E0,1.533447146E0,-1.051831603E0
2.864957833E0,-2.313277245E0,1.297396302E0,-5.946869254E-1
2.875027833E0,-1.947561741E0,1.313711524E0,-5.992412195E-2
2.885068833E0,-1.454042196E0,1.646071672E0,2.053656131E-1
2.895138833E0,-1.144985914E0,1.904112697E0,3.538742959E-1
2.905209833E0,-8.846048713E-1,1.968511939E0,4.007547200E-1
2.915250833E0,-6.926264167E-1,1.637020588E0,3.867902458E-1
2.925320833E0,-5.894659758E-1,1.367238164E0,3.531332016E-1
2.935391833E0,-4.174240828E-1,1.121117830E0,4.082019925E-1
2.945431833E0,-1.751869768E-1,1.057742596E0,3.006273210E-1
2.955502833E0,-3.439599276E-2,9.808419347E-1,-6.180084310E-3
2.965573833E0,1.774667203E-1,8.911626339E-1,-3.130558729E-1
2.975613833E0,4.019897282E-1,7.353240848E-1,-4.469931424E-1
2.985684833E0,4.256766737E-1,5.800591707E-1,-4.996006787E-1
2.995724833E0,3.116362691E-1,4.819757044E-1,-5.872153044E-1
3.005787958E0,3.561179638E-1,3.685290217E-1,-6.467896700E-1
3.015858958E0,4.555534124E-1,1.109730452E-1,-5.367363095E-1
3.025898958E0,4.522774816E-1,2.448130026E-2,-2.997767329E-1
3.035969958E0,6.361516118E-1,-5.457606539E-2,-3.317065164E-2
3.046040958E0,8.295317292E-1,-1.475568488E-2,2.120303214E-1
3.056080958E0,9.739041924E-1,1.719152480E-1,3.522098958E-1
3.066151958E0,9.395336509E-1,2.441532165E-1,2.262833863E-1
3.076222958E0,5.224022865E-1,-2.156551629E-1,-1.469263583E-1
3.086262958E0,9.092835337E-2,-6.360353827E-1,-2.788713276E-1
3.096333958E0,2.438858151E-1,-3.574347794E-1,5.508669466E-2
3.106373958E0,1.095967889E0,4.705616832E-1,7.770842910E-1
3.116444958E0,1.796141148E0,8.921381235E-1,1.440677285E0
3.126515958E0,1.945654511E0,3.719055653E-1,1.457404613E0
3.136555958E0,2.144442320E0,-4.297472835E-1,9.406074286E-1
3.146626958E0,2.718573570E0,-6.484026909E-1,1.142672151E-1
3.156697958E0,3.174910307E0,-6.145026088E-1,-9.308604598E-1
3.166737958E0,3.246745110E0,-3.350065351E-1,-1.814084530E0
3.176808958E0,3.229282618E0,3.335706294E-1,-2.385326624E0
3.186879958E0,3.113610029E0,1.468937755E0,-2.512924194E0
3.196919958E0,2.665703535E0,2.012324810E0,-2.172330856E0
3.206990958E0,1.899232864E0,1.430283070E0,-1.616689444E0
3.217030958E0,9.892165661E-1,6.844610572E-1,-1.175262928E0
3.227101958E0,1.215424836E-1,4.803054929E-1,-8.218553066E-1
3.237171958E0,-7.773326039E-1,6.605712771E-1,-6.078377962E-1
3.247212958E0,-1.739949226E0,1.178796291E0,-4.579343200E-1
3.257283958E0,-2.314165115E0,1.491212726E0,-4.902015030E-1
3.267353958E0,-2.497596264E0,1.105900407E0,-5.147159100E-1
3.277394958E0,-1.999899626E0,4.076956809E-1,-4.386384487E-1
3.287464958E0,-1.029283881E0,-2.115193605E-1,-7.849705219E-2
3.297535958E0,-1.079755090E-2,-4.968246818E-1,5.777072310E-1
3.307576958E0,7.551920414E-1,-2.826258540E-1,1.028259397E0
3.317646958E0,1.093157053E0,-2.791448236E-1,1.420595169E0
3.327687958E0,1.156803966E0,-2.836183906E-1,1.737169981E0
3.337757958E0,1.072429180E0,-1.343308985E-1,2.024960756E0
3.347828958E0,9.181226492E-1,6.991545856E-2,2.136999369E0
3.357869958E0,8.602667451E-1,1.065730974E-1,2.120434761E0
3.367939958E0,9.471393228E-1,-3.331423178E-2,1.891882777E0
3.378010958E0,1.050283313E0,-3.478376195E-2,1.428340197E0
3.388050958E0,1.042337418E0,5.226724967E-2,9.537423849E-1
3.398121958E0,8.153093457E-1,1.161429137E-1,5.449969769E-1
3.408192958E0,4.241793752E-1,5.143342540E-2,2.323384136E-1
3.418232958E0,-1.107521877E-1,-1.687000096E-1,1.171958447E-1
3.428303958E0,-3.649818301E-1,-1.848901659E-1,1.040472910E-1
3.438343958E0,-1.743400395E-1,3.388602734E-1,2.732169330E-1
3.448414958E0,1.557316035E-1,1.009648204E0,5.493294597E-1
3.458485958E0,2.907943428E-1,1.379299521E0,1.005023479E0
3.468525958E0,2.521335185E-1,1.264653563E0,1.488650680E0
3.478596958E0,1.532833129E-1,7.151787877E-1,1.882384896E0
3.488667958E0,1.038047150E-1,4.074739516E-1,2.287546635E0
3.498707958E0,-7.066995651E-2,5.921635032E-1,2.747896194E0
3.508778958E0,-3.766626418E-1,1.031915545E0,2.952540159E0
3.518849958E0,-8.027622104E-1,1.532163501E0,2.759757757E0
3.528889958E0,-1.237704873E0,1.633643270E0,2.314378500E0
3.538960958E0,-1.492269158E0,1.475012898E0,1.696680307E0
3.549000958E0,-1.666527510E0,1.371102452E0,1.199395180E0
3.559071958E0,-1.617894888E0,1.371553183E0,9.524056315E-1
3.569142958E0,-1.263107181E0,1.229858994E0,6.689121723E-1
3.579182958E0,-9.579521418E-1,1.005295157E0,3.536365628E-1
3.589253958E0,-8.367279768E-1,8.640229106E-1,2.928613424E-1
3.599324958E0,-6.919789910E-1,8.787186742E-1,4.061321914E-1
3.609364958E0,-4.385783672E-1,1.075397253E0,4.206916988E-1
3.619435958E0,-3.389875293E-1,1.129937291E0,2.390301079E-1
3.629505958E0,-3.218242824E-1,1.090886831E0,7.312531024E-2
3.639546958E0,-1.885213554E-1,1.122346759E0,4.569568858E-2
3.649617958E0,2.967541292E-2,1.234803796E0,1.326210052E-1
3.659657958E0,1.406213492E-1,1.327919364E0,1.317753196E-1
3.669728958E0,1.949785948E-1,1.394698858E0,8.598261513E-3
3.679798958E0,1.834347248E-1,1.291867495E0,-2.042181045E-1
3.689839958E0,3.930744715E-3,9.694615602E-1,-5.895975232E-1
3.699910958E0,-3.970856071E-1,6.921495199E-1,-1.004030466E0
3.709980958E0,-5.954862833E-1,6.347700953E-1,-1.200693727E0
3.720021958E0,-5.938354731E-1,7.360235453E-1,-1.190370321E0
3.730091958E0,-5.851954222E-1,7.971265912E-1,-1.074416280E0
3.740162958E0,-6.371162534E-1,8.228402734E-1,-9.746830463E-1
3.750203958E0,-7.036122084E-1,8.209651709E-1,-9.674051404E-1
3.760273958E0,-7.722688913E-1,7.295504808E-1,-9.366371036E-1
3.770314958E0,-7.075988054E-1,5.496714711E-1,-8.967408538E-1
3.780384958E0,-5.985471010E-1,4.333703816E-1,-7.669870853E-1
3.790455958E0,-6.299707890E-1,1.065698937E-1,-6.239646673E-1
3.800495958E0,-7.405815125E-1,-3.522040844E-1,-4.390047789E-1
3.810566958E0,-7.792530060E-1,-5.432368517E-1,-6.139171124E-2
3.820637958E0,-6.025306582E-1,-4.804523885E-1,4.129725695E-1
3.830677958E0,-2.914140373E-2,-4.274072647E-1,7.272264361E-1
