"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.025898958E0,-1.982009932E0,8.037781441E0,2.105900445E0
3.035969958E0,-2.705000021E0,8.965291931E0,1.569076931E0
3.046040958E0,-2.363517365E0,1.084808660E1,1.319586765E0
3.056080958E0,-2.624257282E0,1.115302591E1,2.093019029E0
3.066151958E0,-4.845147608E0,8.305489778E0,2.892577822E0
3.076222958E0,-7.897523695E0,4.229040821E0,3.582936355E0
3.086262958E0,-9.691780409E0,-9.305913877E-1,3.140265877E0
3.096333958E0,-8.376846274E0,-5.947846234E0,4.355134857E-1
3.106373958E0,-4.011941305E0,-9.326044672E0,-3.510219212E0
3.116444958E0,-1.368390550E0,-1.194363145E1,-4.952715619E0
3.126515958E0,-2.814303485E0,-1.450315538E1,-3.101372538E0
3.136555958E0,-3.043487149E0,-1.621868401E1,-3.693474458E0
3.146626958E0,-3.501163629E-1,-1.752728386E1,-7.490323012E0
3.156697958E0,2.254042870E0,-1.659831916E1,-1.004845296E1
3.166737958E0,4.242568354E0,-1.583515344E1,-1.148863738E1
3.176808958E0,5.067495292E0,-1.493086283E1,-1.403926068E1
3.186879958E0,5.181471559E0,-1.382320723E1,-1.725989069E1
3.196919958E0,4.424364136E0,-1.205733407E1,-1.659128029E1
3.206990958E0,3.452710676E0,-9.018515042E0,-1.196049131E1
3.217030958E0,2.424189828E0,-6.609511895E0,-8.915353786E0
3.227101958E0,2.567446319E0,-4.889007865E0,-8.278256956E0
3.237171958E0,2.649406449E0,-4.719849086E0,-6.138184798E0
3.247212958E0,1.294803049E0,-3.190608065E0,-2.311423643E0
3.257283958E0,-3.777196062E-1,-6.377955723E-1,8.757784188E-1
3.267353958E0,-1.877923939E0,1.616895461E0,3.230889534E0
3.277394958E0,-3.219034596E0,3.400309099E0,5.196910547E0
3.287464958E0,-5.318399316E0,5.665672470E0,5.777870014E0
3.297535958E0,-8.732268693E0,8.779498993E0,5.084218329E0
3.307576958E0,-1.252597320E1,1.217323290E1,3.229672143E0
3.317646958E0,-1.203806515E1,1.418106501E1,3.182101536E0
3.327687958E0,-7.927349757E0,1.357018066E1,3.674003230E0
3.337757958E0,-4.365188267E0,1.101555904E1,3.607825613E0
3.347828958E0,-3.292001416E0,8.787893840E0,2.976039224E0
3.357869958E0,-3.477020768E0,7.338143962E0,1.980087075E0
3.367939958E0,-3.246538729E0,7.518935777E0,5.635482126E-1
3.378010958E0,-3.216816747E0,9.210842829E0,-4.953936517E-1
3.388050958E0,-3.398872730E0,9.673798467E0,-5.340525180E-1
3.398121958E0,-3.802477376E0,8.604453821E0,-7.382893288E-1
3.408192958E0,-4.764033863E0,7.397482091E0,-1.413831017E0
3.418232958E0,-3.706582747E0,7.020465320E0,-2.669160390E0
3.428303958E0,-2.688919593E0,7.488104578E0,-4.686504754E0
3.438343958E0,-3.625364921E0,6.454559510E0,-5.759239030E0
3.448414958E0,-6.053317725E0,3.250624471E0,-4.224931397E0
3.458485958E0,-8.391918057E0,-8.452547836E-1,-7.553871721E-1
3.468525958E0,-9.632936954E0,-5.709409643E0,1.991795540E0
3.478596958E0,-9.619985957E0,-1.057519938E1,2.747878531E0
3.488667958E0,-7.151099135E0,-1.372915476E1,1.173948995E0
3.498707958E0,-2.535082566E0,-1.524656102E1,-9.250295162E-1
3.508778958E0,8.164668944E-1,-1.640089728E1,-2.312021813E0
3.518849958E0,3.514480662E0,-1.726491227E1,-2.629737293E0
3.528889958E0,6.244745041E0,-1.805613762E1,-1.926454074E0
3.538960958E0,8.202246661E0,-1.789498367E1,-1.977928283E0
3.549000958E0,7.771843057E0,-1.570581186E1,-2.161181776E0
3.559071958E0,5.569515009E0,-1.250640725E1,-1.865508546E0
3.569142958E0,3.448643645E0,-9.543336561E0,-1.794035690E0
3.579182958E0,1.967233141E0,-8.253157198E0,-2.413908377E0
3.589253958E0,1.733576942E0,-7.017008446E0,-3.894847888E0
3.599324958E0,1.353008572E0,-4.006095843E0,-5.921646030E0
3.609364958E0,4.431280223E-1,-1.254332423E0,-6.807885118E0
3.619435958E0,-1.910308743E-1,3.845748818E-1,-5.607311411E0
3.629505958E0,-7.250105944E-1,3.105346305E0,-4.339743816E0
3.639546958E0,-3.527435169E-1,6.678985587E0,-3.782664378E0
3.649617958E0,1.573626065E-1,1.077997589E1,-3.049774368E0
3.659657958E0,-9.242088595E-1,1.363753825E1,-1.600718554E0
3.669728958E0,-2.610707529E0,1.390771002E1,1.871623564E-1
3.679798958E0,-3.224644415E0,1.251004772E1,1.762736714E0
3.689839958E0,-2.511610088E0,1.133680858E1,2.377211251E0
3.699910958E0,-9.509592864E-1,9.614261532E0,1.258952308E0
3.709980958E0,-3.223423809E-1,8.080857294E0,-3.398109376E-1
